代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
600519.SH,贵州茅台,2001-08-27,N/A,5.0329,5.5098,4.7908,5.1845,40631800,1410347179,N/A,N/A,34.7104,56.8277,2541825000,N/A,8887500000,71500000,0,250000000,35.3938,20.0185,7.978,33.8452,
600519.SH,贵州茅台,2001-08-28,5.1845,5.1029,5.396,5.0475,5.3756,12964779,463463143,0.191,3.685,35.7479,18.1326,2635490000,N/A,9215000000,71500000,0,250000000,36.698,20.7561,8.272,35.0923,
600519.SH,贵州茅台,2001-08-29,5.3756,5.3931,5.396,5.2648,5.3056,5325275,194689620,-0.07,-1.3022,36.5595,7.4479,2601170000,N/A,9095000000,71500000,0,250000000,36.2201,20.4858,8.1643,34.6354,
600519.SH,贵州茅台,2001-08-30,5.3056,5.291,5.4704,5.2502,5.4106,4801306,177558558,0.105,1.9791,36.9813,6.7151,2652650000,N/A,9275000000,71500000,0,250000000,36.9369,20.8913,8.3258,35.3208,
600519.SH,贵州茅台,2001-08-31,5.4106,5.4179,5.4864,5.3668,5.3975,2323148,86231237,-0.0131,-0.2426,37.1183,3.2492,2646215000,N/A,9252500000,71500000,0,250000000,36.8473,20.8406,8.3056,35.2351,
600519.SH,贵州茅台,2001-09-03,5.3975,5.4252,5.4791,5.3741,5.3946,2211209,82129438,-0.0029,-0.054,37.1423,3.0926,2644785000,N/A,9247500000,71500000,0,250000000,36.8274,20.8293,8.3012,35.2161,
600519.SH,贵州茅台,2001-09-04,5.3946,5.3975,5.5535,5.3785,5.4631,3700677,139204380,0.0685,1.2706,37.6159,5.1758,2678390000,N/A,9365000000,71500000,0,250000000,37.2954,21.094,8.4066,35.6636,
600519.SH,贵州茅台,2001-09-05,5.4631,5.485,5.5302,5.4266,5.4602,2606695,97796243,-0.0029,-0.0534,37.5173,3.6457,2676960000,N/A,9360000000,71500000,0,250000000,37.2755,21.0827,8.4021,35.6445,
600519.SH,贵州茅台,2001-09-06,5.4602,5.4471,5.4646,5.3246,5.3523,2899703,107078403,-0.1079,-1.9765,36.9274,4.0555,2624050000,N/A,9175000000,71500000,0,250000000,36.5387,20.666,8.2361,34.94,
600519.SH,贵州茅台,2001-09-07,5.3523,5.3231,5.3887,5.1991,5.2035,3155225,113868743,-0.1488,-2.7793,36.0889,4.4129,2551120000,N/A,8920000000,71500000,0,250000000,35.5232,20.0917,8.0072,33.9689,
600519.SH,贵州茅台,2001-09-10,5.2035,5.1627,5.3741,5.1058,5.3523,1887889,68406471,0.1488,2.8587,36.2344,2.6404,2624050000,N/A,9175000000,71500000,0,250000000,36.5387,20.666,8.2361,34.94,
600519.SH,贵州茅台,2001-09-11,5.3523,5.3668,5.3887,5.2793,5.2925,1139081,41579698,-0.0598,-1.1172,36.5028,1.5931,2594735000,N/A,9072500000,71500000,0,250000000,36.1305,20.4351,8.1441,34.5497,
600519.SH,贵州茅台,2001-09-12,5.2925,5.1525,5.2793,5.1481,5.2473,2504519,89421380,-0.0452,-0.8542,35.704,3.5028,2572570000,N/A,8995000000,71500000,0,250000000,35.8219,20.2606,8.0745,34.2545,
600519.SH,贵州茅台,2001-09-13,5.2473,5.2516,5.2939,5.2064,5.2341,1098668,39512775,-0.0131,-0.2501,35.9643,1.5366,2566135000,N/A,8972500000,71500000,0,250000000,35.7323,20.2099,8.0543,34.1688,
600519.SH,贵州茅台,2001-09-14,5.2341,5.2516,5.3231,5.221,5.2939,767283,27740691,0.0598,1.1424,36.1544,1.0731,2595450000,N/A,9075000000,71500000,0,250000000,36.1405,20.4408,8.1463,34.5592,
600519.SH,贵州茅台,2001-09-17,5.2939,5.2618,5.2925,5.1773,5.2268,898397,32183249,-0.0671,-1.2672,35.823,1.2565,2562560000,N/A,8960000000,71500000,0,250000000,35.6825,20.1818,8.0431,34.1213,
600519.SH,贵州茅台,2001-09-18,5.2268,5.2327,5.3304,5.2283,5.2866,1077326,39006062,0.0598,1.144,36.2064,1.5067,2591875000,N/A,9062500000,71500000,0,250000000,36.0907,20.4126,8.1351,34.5116,
600519.SH,贵州茅台,2001-09-19,5.2866,5.2939,5.3843,5.2589,5.3843,865053,31597369,0.0977,1.8483,36.5265,1.2099,2639780000,N/A,9230000000,71500000,0,250000000,36.7577,20.7899,8.2855,35.1495,
600519.SH,贵州茅台,2001-09-20,5.3843,5.3814,5.4033,5.3231,5.3391,1117335,41189577,-0.0452,-0.8397,36.8641,1.5627,2617615000,N/A,9152500000,71500000,0,250000000,36.4491,20.6153,8.2159,34.8543,
600519.SH,贵州茅台,2001-09-21,5.3391,5.291,5.3377,5.2502,5.2589,787972,28638681,-0.0802,-1.5023,36.3448,1.1021,2578290000,N/A,9015000000,71500000,0,250000000,35.9015,20.3056,8.0925,34.3307,
600519.SH,贵州茅台,2001-09-24,5.2589,5.2589,5.307,5.2502,5.2575,406860,14703096,-0.0015,-0.0277,36.138,0.569,2577575000,N/A,9012500000,71500000,0,250000000,35.8916,20.3,8.0902,34.3212,
600519.SH,贵州茅台,2001-09-25,5.2575,5.291,5.3289,5.2575,5.2837,348845,12639790,0.0263,0.4993,36.2333,0.4879,2590445000,N/A,9057500000,71500000,0,250000000,36.0708,20.4014,8.1306,34.4925,
600519.SH,贵州茅台,2001-09-26,5.2837,5.2662,5.3202,5.2502,5.2618,495626,17892565,-0.0219,-0.414,36.1009,0.6932,2579720000,N/A,9020000000,71500000,0,250000000,35.9214,20.3169,8.0969,34.3497,
600519.SH,贵州茅台,2001-09-27,5.2618,5.2618,5.3931,5.2502,5.3523,877804,32085131,0.0904,1.7184,36.5516,1.2277,2624050000,N/A,9175000000,71500000,0,250000000,36.5387,20.666,8.2361,34.94,
600519.SH,贵州茅台,2001-09-28,5.3523,5.3814,5.4252,5.3231,5.4091,1708847,63169143,0.0569,1.0627,36.9659,2.39,2651935000,N/A,9272500000,71500000,0,250000000,36.927,20.8856,8.3236,35.3113,
600519.SH,贵州茅台,2001-10-08,5.4091,5.396,5.4223,5.2866,5.3348,655217,24091149,-0.0744,-1.375,36.7682,0.9164,2615470000,N/A,9145000000,71500000,0,250000000,36.4192,20.5985,8.2092,34.8258,
600519.SH,贵州茅台,2001-10-09,5.3348,5.3377,5.4689,5.3377,5.4398,955852,35498605,0.105,1.9683,37.1382,1.3369,2666950000,N/A,9325000000,71500000,0,250000000,37.1361,21.0039,8.3707,35.5112,
600519.SH,贵州茅台,2001-10-10,5.4398,5.4398,5.4587,5.2545,5.2648,1754869,63956753,-0.175,-3.2172,36.4453,2.4544,2581150000,N/A,9025000000,71500000,0,250000000,35.9413,20.3282,8.1014,34.3688,
600519.SH,贵州茅台,2001-10-11,5.2648,5.2516,5.3231,5.1991,5.2137,1230684,44319896,-0.051,-0.9695,36.0124,1.7212,2556125000,N/A,8937500000,71500000,0,250000000,35.5929,20.1311,8.0229,34.0356,
600519.SH,贵州茅台,2001-10-12,5.2137,5.2356,5.345,4.9658,5.2502,2001070,70897331,0.0365,0.6993,35.4297,2.7987,2574000000,N/A,9000000000,71500000,0,250000000,35.8418,20.2718,8.079,34.2736,
600519.SH,贵州茅台,2001-10-15,5.2502,5.2356,5.2502,5.0898,5.1481,975531,34501714,-0.1021,-1.9444,35.3671,1.3644,2523950000,N/A,8825000000,71500000,0,250000000,35.1449,19.8777,7.9219,33.6071,
600519.SH,贵州茅台,2001-10-16,5.1481,5.1233,5.221,5.0679,5.0752,831991,29068173,-0.0729,-1.4164,34.9381,1.1636,2488200000,N/A,8700000000,71500000,0,250000000,34.6471,19.5961,7.8097,33.1311,
600519.SH,贵州茅台,2001-10-17,5.0752,5.0737,5.0766,4.9439,4.9877,1250768,42766283,-0.0875,-1.7241,34.192,1.7493,2445300000,N/A,8550000000,71500000,0,250000000,34.0497,19.2583,7.675,32.5599,
600519.SH,贵州茅台,2001-10-18,4.9877,4.9877,5.0547,4.9454,4.9643,498346,16999063,-0.0233,-0.4678,34.111,0.697,2433860000,N/A,8510000000,71500000,0,250000000,33.8904,19.1682,7.6391,32.4076,
600519.SH,贵州茅台,2001-10-19,4.9643,4.9585,4.9804,4.8141,4.8856,1568754,52422843,-0.0788,-1.5864,33.4169,2.1941,2395250000,N/A,8375000000,71500000,0,250000000,33.3528,18.8641,7.5179,31.8935,
600519.SH,贵州茅台,2001-10-22,4.8856,4.8564,4.9147,4.7689,4.782,976065,32268911,-0.1035,-2.1194,33.0602,1.3651,2344485000,N/A,8197500000,71500000,0,250000000,32.6459,18.4643,7.3586,31.2175,
600519.SH,贵州茅台,2001-10-23,4.782,5.2502,5.2604,5.1058,5.2604,4059824,145710538,0.4783,10.003,35.8909,5.6781,2579005000,N/A,9017500000,71500000,0,250000000,35.9115,20.3113,8.0947,34.3402,
