open,high,low,close,volume
34.51,37.78,32.85,35.55,40631800.0
34.99,37.0,34.61,36.86,12964779.0
36.98,37.0,36.1,36.38,5325275.0
36.28,37.51,36.0,37.1,4801306.0
37.15,37.62,36.8,37.01,2323148.0
37.2,37.57,36.85,36.99,2211209.0
37.01,38.08,36.88,37.46,3700677.0
37.61,37.92,37.21,37.44,2606695.0
37.35,37.47,36.51,36.7,2899703.0
36.5,36.95,35.65,35.68,3155225.0
35.4,36.85,35.01,36.7,1887889.0
36.8,36.95,36.2,36.29,1139081.0
35.33,36.2,35.3,35.98,2504519.0
36.01,36.3,35.7,35.89,1098668.0
36.01,36.5,35.8,36.3,767283.0
36.08,36.29,35.5,35.84,898397.0
35.88,36.55,35.85,36.25,1077326.0
36.3,36.92,36.06,36.92,865053.0
36.9,37.05,36.5,36.61,1117335.0
36.28,36.6,36.0,36.06,787972.0
36.06,36.39,36.0,36.05,406860.0
36.28,36.54,36.05,36.23,348845.0
36.11,36.48,36.0,36.08,495626.0
36.08,36.98,36.0,36.7,877804.0
36.9,37.2,36.5,37.09,1708847.0
37.0,37.18,36.25,36.58,655217.0
36.6,37.5,36.6,37.3,955852.0
37.3,37.43,36.03,36.1,1754869.0
36.01,36.5,35.65,35.75,1230684.0
35.9,36.65,34.05,36.0,2001070.0
35.9,36.0,34.9,35.3,975531.0
35.13,35.8,34.75,34.8,831991.0
34.79,34.81,33.9,34.2,1250768.0
34.2,34.66,33.91,34.04,498346.0
34.0,34.15,33.01,33.5,1568754.0
33.3,33.7,32.7,32.79,976065.0
36.0,36.07,35.01,36.07,4059824.0
36.78,36.8,35.11,35.86,4068239.0
35.7,35.8,34.86,34.88,1603686.0
34.7,35.1,34.42,35.0,900220.0
34.88,35.63,34.88,35.3,458786.0
35.25,35.49,34.92,35.0,348417.0
35.0,35.09,34.8,35.05,476247.0
35.05,35.64,34.95,35.57,664303.0
35.28,35.72,35.16,35.36,343520.0
35.0,35.26,34.7,34.9,369076.0
34.8,35.3,34.72,35.15,260931.0
35.0,35.0,33.8,33.85,932538.0
33.35,33.89,32.98,33.7,740216.0
33.7,34.48,33.34,34.15,376076.0
34.4,34.4,33.52,33.6,268333.0
33.28,33.7,33.21,33.64,267381.0
33.64,34.0,33.64,33.65,76900.0
33.65,33.8,33.5,33.68,219345.0
36.2,36.2,33.99,34.09,995470.0
34.15,35.08,34.1,35.05,373461.0
35.2,35.53,34.9,35.38,806908.0
35.48,35.5,34.9,35.18,511442.0
35.22,35.3,34.91,35.12,419879.0
35.01,35.25,34.78,34.98,396090.0
35.0,35.0,34.5,34.61,310099.0
34.58,35.07,34.58,35.0,256948.0
35.05,35.39,34.9,35.05,377362.0
35.01,35.2,34.81,34.83,304618.0
34.83,35.45,34.8,35.34,407097.0
35.35,36.27,35.34,36.17,1603705.0
36.25,36.27,35.81,36.21,689499.0
37.0,37.0,35.96,36.0,1502835.0
35.9,36.3,35.8,36.06,637222.0
36.1,36.2,35.8,35.86,390820.0
36.0,36.08,35.71,35.99,416156.0
36.0,36.0,35.61,35.64,358002.0
35.6,36.1,35.6,35.77,463267.0
35.61,35.97,35.2,35.26,354045.0
35.02,35.5,35.02,35.2,284125.0
35.11,35.61,35.05,35.36,441389.0
35.48,35.96,35.1,35.9,482120.0
35.9,36.49,35.63,35.96,962001.0
35.9,35.9,34.65,34.76,1136223.0
34.7,35.97,34.7,35.87,813504.0
35.99,37.25,35.81,36.42,2725079.0
36.45,36.72,35.95,36.5,1218260.0
36.54,37.25,36.1,37.19,1680952.0
37.22,37.84,36.92,37.32,2328478.0
37.3,37.6,36.88,37.3,1227932.0
37.67,39.3,37.46,38.55,5219541.0
38.72,38.8,37.45,37.55,2910962.0
37.15,37.5,36.68,37.35,1894295.0
37.0,37.59,36.48,36.59,1328664.0
36.5,37.18,36.35,36.87,1060682.0
36.98,37.39,36.35,37.24,1881555.0
37.01,37.14,36.0,36.05,1183475.0
35.7,36.4,35.43,36.1,1871851.0
35.98,37.05,35.91,36.54,1824741.0
36.48,36.97,35.4,36.35,1397433.0
36.2,36.49,34.7,35.06,2418031.0
34.8,36.88,34.7,36.65,3226208.0
36.3,36.6,35.58,35.87,1575593.0
35.8,36.95,35.8,36.44,1348567.0
36.65,37.65,36.2,37.62,2333648.0
37.36,37.87,36.8,37.29,2661580.0
37.24,37.57,36.8,37.1,1394112.0
37.0,37.29,35.3,35.49,2166782.0
35.2,36.2,34.98,35.66,1187200.0
35.6,36.28,35.2,35.58,841922.0
36.0,38.0,36.0,37.6,4082830.0
37.5,37.98,36.9,37.06,1734503.0
37.18,38.15,37.0,37.92,1651019.0
37.93,38.68,37.63,37.9,1119573.0
37.86,38.11,37.09,37.18,966854.0
37.18,37.92,37.12,37.41,668817.0
37.6,38.2,37.58,37.65,1256931.0
37.99,38.5,37.45,37.77,1481599.0
37.85,38.1,37.5,37.93,829081.0
38.0,38.46,37.78,38.0,1250698.0
37.95,38.15,37.2,37.39,742145.0
37.35,38.08,37.12,38.04,522485.0
38.06,39.1,37.86,38.59,2218887.0
38.8,39.08,38.02,38.36,1862014.0
38.2,38.6,38.05,38.5,1361602.0
38.55,39.78,38.55,39.63,3532681.0
39.69,39.69,39.07,39.45,1760600.0
39.45,39.45,38.5,38.5,1725185.0
38.31,38.8,38.19,38.24,779399.0
38.11,38.7,38.05,38.62,638774.0
38.02,38.9,37.85,37.92,1189288.0
38.12,38.8,37.9,38.0,607027.0
38.1,38.88,38.02,38.75,677404.0
38.8,39.5,38.7,38.97,1503133.0
39.3,39.56,38.66,38.92,1503721.0
38.92,39.0,38.42,38.54,797276.0
38.49,38.9,38.3,38.78,431507.0
38.7,38.8,38.12,38.2,623909.0
38.15,38.46,37.91,38.1,499101.0
38.01,38.28,38.0,38.01,529157.0
38.0,38.05,37.1,37.26,1062547.0
37.16,37.79,37.12,37.6,276605.0
37.61,37.76,36.81,37.02,732933.0
37.02,37.3,36.82,36.98,601945.0
36.97,37.6,36.51,37.58,516143.0
37.78,37.94,37.1,37.28,304685.0
37.3,37.4,36.95,37.0,230046.0
37.0,37.5,36.88,37.43,329157.0
37.43,37.77,37.2,37.48,342383.0
37.49,37.88,37.41,37.49,679799.0
37.62,38.22,37.52,38.0,451928.0
38.46,38.5,37.6,37.89,292594.0
37.88,38.3,37.88,38.26,603615.0
38.5,38.5,36.85,36.98,1321928.0
37.0,37.19,36.38,36.39,853815.0
36.39,36.45,35.89,36.22,885432.0
36.0,36.4,35.9,36.19,411365.0
36.19,36.19,35.51,35.52,408822.0
35.5,35.88,35.16,35.24,505088.0
35.1,35.68,35.1,35.51,259676.0
35.5,36.08,35.4,36.02,238123.0
36.2,37.0,36.2,36.35,466521.0
36.48,36.6,35.95,36.2,597847.0
36.31,36.5,36.02,36.25,170049.0
36.0,36.45,36.0,36.03,171221.0
36.05,36.13,35.65,35.66,268850.0
35.57,35.7,35.38,35.4,283074.0
35.4,36.48,35.21,35.48,507003.0
35.68,35.69,35.2,35.34,224430.0
35.25,35.36,34.91,34.96,554983.0
34.89,35.59,34.75,35.04,385968.0
34.99,34.99,34.5,34.51,335369.0
35.54,35.54,34.9,35.03,570700.0
35.1,35.48,34.95,35.02,297406.0
35.88,35.88,35.1,35.2,161990.0
35.01,35.2,34.68,34.89,240735.0
35.0,35.34,34.89,35.11,165326.0
35.2,35.55,35.1,35.16,261490.0
35.21,35.38,34.66,34.77,268474.0
34.88,35.06,34.6,34.86,196225.0
35.0,35.16,34.8,34.95,180610.0
34.9,35.01,34.51,34.93,229022.0
34.9,35.0,34.0,34.5,197600.0
34.5,34.5,34.1,34.35,222475.0
34.38,35.47,34.1,34.99,575740.0
34.8,35.16,34.61,34.92,362216.0
35.0,35.05,34.51,34.64,183253.0
34.75,35.02,34.65,34.82,153920.0
34.8,35.12,34.55,35.11,208220.0
35.1,35.3,34.88,34.9,162300.0
34.9,35.2,34.6,34.65,94711.0
34.55,34.66,34.3,34.65,135810.0
34.7,35.08,34.69,34.97,163699.0
34.9,35.0,34.7,34.73,83350.0
34.98,35.05,34.76,34.88,131920.0
35.0,35.7,34.88,35.49,426651.0
39.04,39.04,37.0,38.18,6125441.0
37.28,37.4,36.56,36.85,1542300.0
36.9,37.18,36.6,36.78,558178.0
36.7,37.38,36.7,37.03,1076373.0
37.08,37.49,36.78,36.8,432000.0
36.8,36.8,36.58,36.75,393507.0
36.75,36.85,36.5,36.66,533312.0
